subject_id,person,illuminant,wb_cell,condition_code,include_in_eval,path_noflash,path_flash,path_face_landmarks,zip_path,zip_stem
Parker_D65_B3,Parker,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-B3Torch.zip,Parker-D65-B3Torch
Parker_D65_B4,Parker,D65,B,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-B4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-B4Torch.zip,Parker-D65-B4Torch
Parker_D65_C1,Parker,D65,C,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-C1Torch.zip,Parker-D65-C1Torch
Parker_D65_C2,Parker,D65,C,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-C2Torch.zip,Parker-D65-C2Torch
Parker_D65_C4,Parker,D65,C,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-C4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-C4Torch.zip,Parker-D65-C4Torch
Parker_D65_D1,Parker,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-D1Torch.zip,Parker-D65-D1Torch
Parker_D65_D2,Parker,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D2Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D2Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D2Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-D2Torch.zip,Parker-D65-D2Torch
Parker_D65_D3,Parker,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D3Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D3Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D3Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-D3Torch.zip,Parker-D65-D3Torch
Parker_D65_D4,Parker,D65,D,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D4Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D4Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-D4Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-D4Torch.zip,Parker-D65-D4Torch
Parker_D65_E1,Parker,D65,E,CC,yes,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E1Torch/NoFlash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E1Torch/Flash.dng,/home/mabl-main/color_space_research/new/Fitskin/data/ring_light_cc_cache/Parker-D65-E1Torch/face_landmarks.json,/home/mabl-main/Downloads/Variable Lighting Ring Light-20260829T185351Z-1-001/Variable Lighting Ring Light/Parker P2/D65/Parker-D65-E1Torch.zip,Parker-D65-E1Torch
